InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Year,Month,Day,DayOfWeek,Hour,DayName
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850,United Kingdom,15.299999999999999,2010,12,1,2,8,Wednesday
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,2010,12,1,2,8,Wednesday
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850,United Kingdom,22.0,2010,12,1,2,8,Wednesday
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,2010,12,1,2,8,Wednesday
536365,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,2010,12,1,2,8,Wednesday
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00,7.65,17850,United Kingdom,15.3,2010,12,1,2,8,Wednesday
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00,4.25,17850,United Kingdom,25.5,2010,12,1,2,8,Wednesday
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,11.100000000000001,2010,12,1,2,8,Wednesday
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,11.100000000000001,2010,12,1,2,8,Wednesday
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047,United Kingdom,54.08,2010,12,1,2,8,Wednesday
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.600000000000001,2010,12,1,2,8,Wednesday
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.600000000000001,2010,12,1,2,8,Wednesday
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,3.75,13047,United Kingdom,30.0,2010,12,1,2,8,Wednesday
536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00,1.65,13047,United Kingdom,9.899999999999999,2010,12,1,2,8,Wednesday
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,25.5,2010,12,1,2,8,Wednesday
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.850000000000001,2010,12,1,2,8,Wednesday
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00,9.95,13047,United Kingdom,19.9,2010,12,1,2,8,Wednesday
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,17.85,2010,12,1,2,8,Wednesday
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,17.85,2010,12,1,2,8,Wednesday
536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,31.8,2010,12,1,2,8,Wednesday
536368,22960,JAM MAKING SET WITH JARS,12,2010-12-01 08:36:00,4.25,13047,United Kingdom,51.0,2010,12,1,2,8,Wednesday
536368,22913,NATURAL SLATE HEART CHALKBOARD,12,2010-12-01 08:36:00,4.25,13047,United Kingdom,51.0,2010,12,1,2,8,Wednesday
536368,22914,SKULL SHOULDER BAG,12,2010-12-01 08:36:00,2.55,13047,United Kingdom,30.599999999999998,2010,12,1,2,8,Wednesday
536369,21890,VINTAGE UNION JACK APRON,3,2010-12-01 08:40:00,7.08,17548,United Kingdom,21.240000000000002,2010,12,1,2,8,Wednesday
536369,21889,WOODEN CROQUET GARDEN SET,3,2010-12-01 08:40:00,25.0,17548,United Kingdom,75.0,2010,12,1,2,8,Wednesday
536370,22111,SCOTTIE DOG HOT WATER BOTTLE,4,2010-12-01 08:45:00,4.95,12662,Germany,19.8,2010,12,1,2,8,Wednesday
536370,21113,CREAM SWEETHEART EGG WARMER,4,2010-12-01 08:45:00,2.55,12662,Germany,10.2,2010,12,1,2,8,Wednesday
536370,22112,CHOCOLATE HOT WATER BOTTLE,2,2010-12-01 08:45:00,4.95,12662,Germany,9.9,2010,12,1,2,8,Wednesday
536370,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2010-12-01 08:45:00,4.95,12662,Germany,9.9,2010,12,1,2,8,Wednesday
536370,22492,MINI PAINT SET VINTAGE,36,2010-12-01 08:45:00,0.65,12662,Germany,23.400000000000002,2010,12,1,2,8,Wednesday
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2010-12-01 09:00:00,2.55,17850,United Kingdom,30.599999999999998,2010,12,1,2,9,Wednesday
536371,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2010-12-01 09:00:00,4.25,17850,United Kingdom,51.0,2010,12,1,2,9,Wednesday
536371,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6,2010-12-01 09:00:00,4.95,17850,United Kingdom,29.700000000000003,2010,12,1,2,9,Wednesday
536371,22112,CHOCOLATE HOT WATER BOTTLE,6,2010-12-01 09:00:00,4.95,17850,United Kingdom,29.700000000000003,2010,12,1,2,9,Wednesday
536372,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,12,2010-12-01 09:01:00,4.25,17850,United Kingdom,51.0,2010,12,1,2,9,Wednesday
536372,22376,AIRLINE BAG VINTAGE JET SET BROWN,12,2010-12-01 09:01:00,4.25,17850,United Kingdom,51.0,2010,12,1,2,9,Wednesday
536373,85099B,JUMBO BAG RED RETROSPOT,50,2010-12-01 09:09:00,1.95,17850,United Kingdom,97.5,2010,12,1,2,9,Wednesday
536374,22492,MINI PAINT SET VINTAGE,12,2010-12-01 09:32:00,0.65,14688,United Kingdom,7.800000000000001,2010,12,1,2,9,Wednesday
536374,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 09:32:00,0.42,14688,United Kingdom,10.08,2010,12,1,2,9,Wednesday
536374,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 09:32:00,1.65,14688,United Kingdom,39.599999999999994,2010,12,1,2,9,Wednesday
536374,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:32:00,0.55,14688,United Kingdom,13.200000000000001,2010,12,1,2,9,Wednesday
536374,21213,PACK OF 72 SKULL CAKE CASES,12,2010-12-01 09:32:00,0.42,14688,United Kingdom,5.04,2010,12,1,2,9,Wednesday
536374,22053,EMPIRE DESIGN ROSEBUD CHROME LIGHTER,12,2010-12-01 09:32:00,1.25,14688,United Kingdom,15.0,2010,12,1,2,9,Wednesday
536375,22866,HAND WARMER OWL DESIGN,12,2010-12-01 09:34:00,1.45,14606,United Kingdom,17.4,2010,12,1,2,9,Wednesday
536375,21212,PACK OF 72 RETROSPOT CAKE CASES,12,2010-12-01 09:34:00,0.42,14606,United Kingdom,5.04,2010,12,1,2,9,Wednesday
536375,22632,HAND WARMER RED POLKA DOT,12,2010-12-01 09:34:00,1.85,14606,United Kingdom,22.200000000000003,2010,12,1,2,9,Wednesday
536376,22960,JAM MAKING SET WITH JARS,12,2010-12-01 09:37:00,4.25,13113,United Kingdom,51.0,2010,12,1,2,9,Wednesday
536376,23084,RABBIT NIGHT LIGHT,12,2010-12-01 09:37:00,1.69,13113,United Kingdom,20.28,2010,12,1,2,9,Wednesday
536376,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 09:37:00,1.65,13113,United Kingdom,39.599999999999994,2010,12,1,2,9,Wednesday
536377,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2010-12-01 09:41:00,1.69,17677,United Kingdom,20.28,2010,12,1,2,9,Wednesday
536377,22913,NATURAL SLATE HEART CHALKBOARD,12,2010-12-01 09:41:00,4.25,17677,United Kingdom,51.0,2010,12,1,2,9,Wednesday
536377,22423,REGENCY CAKESTAND 3 TIER,12,2010-12-01 09:41:00,12.75,17677,United Kingdom,153.0,2010,12,1,2,9,Wednesday
536378,22960,JAM MAKING SET WITH JARS,6,2010-12-01 09:50:00,4.25,13093,United Kingdom,25.5,2010,12,1,2,9,Wednesday
536378,21754,HOME BUILDING BLOCK WORD,4,2010-12-01 09:50:00,5.95,13093,United Kingdom,23.8,2010,12,1,2,9,Wednesday
536378,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-01 09:50:00,1.69,13093,United Kingdom,40.56,2010,12,1,2,9,Wednesday
536378,22745,POPPY'S PLAYHOUSE BEDROOM,12,2010-12-01 09:50:00,2.1,13093,United Kingdom,25.200000000000003,2010,12,1,2,9,Wednesday
536378,22748,POPPY'S PLAYHOUSE KITCHEN,12,2010-12-01 09:50:00,2.1,13093,United Kingdom,25.200000000000003,2010,12,1,2,9,Wednesday
536378,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2010-12-01 09:50:00,3.75,13093,United Kingdom,45.0,2010,12,1,2,9,Wednesday
536378,22310,IVORY KNITTED MUG COSY,12,2010-12-01 09:50:00,1.65,13093,United Kingdom,19.799999999999997,2010,12,1,2,9,Wednesday
536379,21755,LOVE BUILDING BLOCK WORD,6,2010-12-01 09:52:00,5.95,15311,United Kingdom,35.7,2010,12,1,2,9,Wednesday
536379,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 09:52:00,7.95,15311,United Kingdom,31.8,2010,12,1,2,9,Wednesday
536379,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 09:52:00,4.95,15311,United Kingdom,19.8,2010,12,1,2,9,Wednesday
536379,22492,MINI PAINT SET VINTAGE,36,2010-12-01 09:52:00,0.65,15311,United Kingdom,23.400000000000002,2010,12,1,2,9,Wednesday
536380,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2010-12-01 09:55:00,3.39,14646,United Kingdom,40.68,2010,12,1,2,9,Wednesday
536380,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2010-12-01 09:55:00,3.39,14646,United Kingdom,40.68,2010,12,1,2,9,Wednesday
536380,22111,SCOTTIE DOG HOT WATER BOTTLE,12,2010-12-01 09:55:00,4.95,14646,United Kingdom,59.400000000000006,2010,12,1,2,9,Wednesday
536380,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-12-01 09:55:00,2.75,14646,United Kingdom,33.0,2010,12,1,2,9,Wednesday
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC,12,2010-12-01 10:01:00,4.95,14570,United Kingdom,59.400000000000006,2010,12,1,2,10,Wednesday
536381,22138,BAKING SET 9 PIECE RETROSPOT,12,2010-12-01 10:01:00,4.95,14570,United Kingdom,59.400000000000006,2010,12,1,2,10,Wednesday
536381,21754,HOME BUILDING BLOCK WORD,12,2010-12-01 10:01:00,5.95,14570,United Kingdom,71.4,2010,12,1,2,10,Wednesday
536381,21755,LOVE BUILDING BLOCK WORD,12,2010-12-01 10:01:00,5.95,14570,United Kingdom,71.4,2010,12,1,2,10,Wednesday
536382,20685,DOORMAT NEW ENGLAND,10,2010-12-01 10:03:00,7.08,17511,United Kingdom,70.8,2010,12,1,2,10,Wednesday
536382,22145,CHRISTMAS CRAFT HEART DECORATIONS,12,2010-12-01 10:03:00,1.25,17511,United Kingdom,15.0,2010,12,1,2,10,Wednesday
536382,22144,CHRISTMAS CRAFT STAR DECORATIONS,12,2010-12-01 10:03:00,1.25,17511,United Kingdom,15.0,2010,12,1,2,10,Wednesday
536383,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2010-12-01 10:04:00,3.39,16422,United Kingdom,81.36,2010,12,1,2,10,Wednesday
536383,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2010-12-01 10:04:00,3.39,16422,United Kingdom,81.36,2010,12,1,2,10,Wednesday
536383,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2010-12-01 10:04:00,4.95,16422,United Kingdom,118.80000000000001,2010,12,1,2,10,Wednesday
536384,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2010-12-01 10:18:00,2.55,16446,United Kingdom,30.599999999999998,2010,12,1,2,10,Wednesday
536384,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2010-12-01 10:18:00,4.25,16446,United Kingdom,51.0,2010,12,1,2,10,Wednesday
536384,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 10:18:00,0.42,16446,United Kingdom,50.4,2010,12,1,2,10,Wednesday
536384,22111,SCOTTIE DOG HOT WATER BOTTLE,12,2010-12-01 10:18:00,4.95,16446,United Kingdom,59.400000000000006,2010,12,1,2,10,Wednesday
536384,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2010-12-01 10:18:00,1.69,16446,United Kingdom,81.12,2010,12,1,2,10,Wednesday
536384,22139,RETROSPOT TEA SET CERAMIC 11 PC,12,2010-12-01 10:18:00,4.95,16446,United Kingdom,59.400000000000006,2010,12,1,2,10,Wednesday
536384,22138,BAKING SET 9 PIECE RETROSPOT,12,2010-12-01 10:18:00,4.95,16446,United Kingdom,59.400000000000006,2010,12,1,2,10,Wednesday
536384,22492,MINI PAINT SET VINTAGE,48,2010-12-01 10:18:00,0.65,16446,United Kingdom,31.200000000000003,2010,12,1,2,10,Wednesday
536385,22960,JAM MAKING SET WITH JARS,24,2010-12-01 10:19:00,4.25,16029,United Kingdom,102.0,2010,12,1,2,10,Wednesday
536385,22913,NATURAL SLATE HEART CHALKBOARD,24,2010-12-01 10:19:00,4.25,16029,United Kingdom,102.0,2010,12,1,2,10,Wednesday
536385,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 10:19:00,0.42,16029,United Kingdom,50.4,2010,12,1,2,10,Wednesday
536385,22866,HAND WARMER OWL DESIGN,24,2010-12-01 10:19:00,1.45,16029,United Kingdom,34.8,2010,12,1,2,10,Wednesday
536385,21977,PACK OF 60 PINK PAISLEY CAKE CASES,48,2010-12-01 10:19:00,0.55,16029,United Kingdom,26.400000000000002,2010,12,1,2,10,Wednesday
536385,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 10:19:00,0.42,16029,United Kingdom,10.08,2010,12,1,2,10,Wednesday
536386,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-01 10:20:00,2.55,12901,France,30.599999999999998,2010,12,1,2,10,Wednesday
536386,71053,WHITE METAL LANTERN,6,2010-12-01 10:20:00,3.39,12901,France,20.34,2010,12,1,2,10,Wednesday
536386,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-12-01 10:20:00,2.75,12901,France,33.0,2010,12,1,2,10,Wednesday
536386,20725,LUNCH BAG RED RETROSPOT,12,2010-12-01 10:20:00,1.65,12901,France,19.799999999999997,2010,12,1,2,10,Wednesday
536386,20726,LUNCH BAG CARS BLUE,12,2010-12-01 10:20:00,1.65,12901,France,19.799999999999997,2010,12,1,2,10,Wednesday
536386,20727,LUNCH BAG BLACK SKULL,12,2010-12-01 10:20:00,1.65,12901,France,19.799999999999997,2010,12,1,2,10,Wednesday
536386,20728,LUNCH BAG SUKI DESIGN,12,2010-12-01 10:20:00,1.65,12901,France,19.799999999999997,2010,12,1,2,10,Wednesday
